dataset,variant,seed,domain,f1
p22,legacy_exact,1,L6a/b,0.645218945487042
p22,legacy_exact,1,VL,0.0
p22,legacy_exact,1,ccg/aco,0.7980364656381487
p22,legacy_exact,1,others,0.36922038474519064
p22,legacy_exact,2,ACB,0.6113875069098949
p22,legacy_exact,2,CP,0.8355949895615866
p22,legacy_exact,2,L1-L3,0.7027692307692307
p22,legacy_exact,2,L4,0.47851335656213706
p22,legacy_exact,2,L5,0.0015624999999999999
p22,legacy_exact,2,L6a/b,0.6767399267399269
p22,legacy_exact,2,VL,0.08020698576972833
p22,legacy_exact,2,ccg/aco,0.8086021505376345
p22,legacy_exact,2,others,0.5745737103388733
p22,legacy_exact,3,ACB,0.5975395430579964
p22,legacy_exact,3,CP,0.831368528959508
p22,legacy_exact,3,L1-L3,0.6987143655673561
p22,legacy_exact,3,L4,0.4425531914893616
p22,legacy_exact,3,L5,0.35446231472721546
p22,legacy_exact,3,L6a/b,0.7126436781609196
p22,legacy_exact,3,VL,0.0
p22,legacy_exact,3,ccg/aco,0.8053596614950634
p22,legacy_exact,3,others,0.41913439635535316
p22,legacy_exact,4,ACB,0.5624309392265193
p22,legacy_exact,4,CP,0.8261874197689345
p22,legacy_exact,4,L1-L3,0.729064039408867
p22,legacy_exact,4,L4,0.0
p22,legacy_exact,4,L5,0.3786204837264855
p22,legacy_exact,4,L6a/b,0.7064579256360078
p22,legacy_exact,4,VL,0.638961038961039
p22,legacy_exact,4,ccg/aco,0.7445255474452555
p22,legacy_exact,4,others,0.361839863713799
placenta,abundance_only,0,EVT,0.8358208955223881
placenta,abundance_only,0,EVT-progenitor,0.04166666666666667
placenta,abundance_only,0,Endothelial,0.8380952380952382
placenta,abundance_only,0,Erythroblasts,0.10989010989010989
placenta,abundance_only,0,FIB1,0.5753424657534247
placenta,abundance_only,0,FIB2,0.5488029465930018
placenta,abundance_only,0,Hofbauer cells,0.6191646191646192
placenta,abundance_only,0,STB,0.7573770491803279
placenta,abundance_only,0,STB-progenitor,0.0
placenta,abundance_only,0,vCTB,0.7135549872122762
placenta,abundance_only,1,EVT,0.8620689655172413
placenta,abundance_only,1,EVT-progenitor,0.010810810810810811
