dataset,variant,seed,attention,alternative_0_mean,alternative_1_mean,alternative_0_sd_across_locations,max_row_sum_deviation
placenta,abundance_only,1,alpha_omics2,0.49782535433769226,0.5021746158599854,0.047403931617736816,5.960464477539063e-08
placenta,abundance_only,1,alpha,0.5481213927268982,0.4518786370754242,0.19885466992855072,1.1920928955078125e-07
placenta,abundance_only,2,alpha_omics1,0.4509197175502777,0.5490802526473999,0.2120690792798996,1.1920928955078125e-07
placenta,abundance_only,2,alpha_omics2,0.4986073076725006,0.501392662525177,0.05282533913850784,5.960464477539063e-08
placenta,abundance_only,2,alpha,0.5609028935432434,0.439097136259079,0.19883735477924347,1.1920928955078125e-07
placenta,abundance_only,3,alpha_omics1,0.4475841820240021,0.5524158477783203,0.2199002355337143,1.1920928955078125e-07
placenta,abundance_only,3,alpha_omics2,0.4997258186340332,0.5002741813659668,0.05220714956521988,5.960464477539063e-08
placenta,abundance_only,3,alpha,0.5674452781677246,0.4325547218322754,0.19621972739696503,1.1920928955078125e-07
placenta,abundance_only,4,alpha_omics1,0.45666325092315674,0.5433367490768433,0.22156816720962524,1.1920928955078125e-07
placenta,abundance_only,4,alpha_omics2,0.49782851338386536,0.5021714568138123,0.04979636147618294,5.960464477539063e-08
placenta,abundance_only,4,alpha,0.579561173915863,0.42043882608413696,0.22580425441265106,1.1920928955078125e-07
placenta,asr_hvg,0,alpha_omics1,0.45580005645751953,0.5441999435424805,0.21728841960430145,1.1920928955078125e-07
placenta,asr_hvg,0,alpha_omics2,0.49956268072128296,0.500437319278717,0.04591532051563263,5.960464477539063e-08
placenta,asr_hvg,0,alpha,0.5669155716896057,0.4330844581127167,0.21483191847801208,1.1920928955078125e-07
placenta,asr_hvg,1,alpha_omics1,0.4491642415523529,0.5508357882499695,0.19843722879886627,1.1920928955078125e-07
placenta,asr_hvg,1,alpha_omics2,0.49782299995422363,0.5021770000457764,0.047318603843450546,5.960464477539063e-08
placenta,asr_hvg,1,alpha,0.5505878329277039,0.449412077665329,0.1970726102590561,1.1920928955078125e-07
placenta,asr_hvg,2,alpha_omics1,0.4499252736568451,0.5500747561454773,0.21201585233211517,1.1920928955078125e-07
placenta,asr_hvg,2,alpha_omics2,0.49860477447509766,0.5013952255249023,0.05275881290435791,5.960464477539063e-08
placenta,asr_hvg,2,alpha,0.5631821155548096,0.43681788444519043,0.19756537675857544,1.1920928955078125e-07
placenta,asr_hvg,3,alpha_omics1,0.4458198845386505,0.5541801452636719,0.2193368822336197,1.1920928955078125e-07
placenta,asr_hvg,3,alpha_omics2,0.4997289180755615,0.5002710819244385,0.05212188884615898,5.960464477539063e-08
placenta,asr_hvg,3,alpha,0.571674108505249,0.428325891494751,0.19336079061031342,1.1920928955078125e-07
placenta,asr_hvg,4,alpha_omics1,0.4550941288471222,0.5449058413505554,0.22092728316783905,1.1920928955078125e-07
placenta,asr_hvg,4,alpha_omics2,0.4978316128253937,0.5021684169769287,0.04949983209371567,5.960464477539063e-08
placenta,asr_hvg,4,alpha,0.5837603807449341,0.41623955965042114,0.22271963953971863,1.1920928955078125e-07
placenta,asr_rescue,0,alpha_omics1,0.4742286205291748,0.5257713794708252,0.25874263048171997,1.1920928955078125e-07
placenta,asr_rescue,0,alpha_omics2,0.5009926557540894,0.49900731444358826,0.0611504428088665,5.960464477539063e-08
placenta,asr_rescue,0,alpha,0.6107592582702637,0.38924074172973633,0.2630860209465027,1.1920928955078125e-07
placenta,asr_rescue,1,alpha_omics1,0.4782319664955139,0.5217679738998413,0.27578112483024597,1.1920928955078125e-07
placenta,asr_rescue,1,alpha_omics2,0.4979725182056427,0.5020275115966797,0.06789450347423553,5.960464477539063e-08
placenta,asr_rescue,1,alpha,0.6699439287185669,0.3300561010837555,0.24460949003696442,1.1920928955078125e-07
placenta,asr_rescue,2,alpha_omics1,0.4713444709777832,0.528655469417572,0.27432841062545776,1.1920928955078125e-07
placenta,asr_rescue,2,alpha_omics2,0.49911025166511536,0.5008897185325623,0.05459967255592346,5.960464477539063e-08
placenta,asr_rescue,2,alpha,0.6477146148681641,0.35228538513183594,0.23955756425857544,1.1920928955078125e-07
placenta,asr_rescue,3,alpha_omics1,0.4813581705093384,0.5186418294906616,0.26629263162612915,1.1920928955078125e-07
placenta,asr_rescue,3,alpha_omics2,0.5000003576278687,0.49999964237213135,0.06939805299043655,5.960464477539063e-08
placenta,asr_rescue,3,alpha,0.6359068751335144,0.364093154668808,0.24414998292922974,1.1920928955078125e-07
placenta,asr_rescue,4,alpha_omics1,0.4815920293331146,0.5184080004692078,0.27390941977500916,1.1920928955078125e-07
placenta,asr_rescue,4,alpha_omics2,0.5014153122901917,0.49858465790748596,0.056622326374053955,5.960464477539063e-08
placenta,asr_rescue,4,alpha,0.6562638282775879,0.3437362611293793,0.2512778341770172,1.1920928955078125e-07
placenta,corrected_unweighted,0,alpha_omics1,0.455652117729187,0.5443478226661682,0.21721310913562775,1.1920928955078125e-07
