dataset,max,mean,median,metric,min,n_seeds,sd,variant
placenta,3.8629946829414523,3.651980380924673,3.6393625366010185,embedding_davies_bouldin,3.506497231158255,5,0.13164838528074732,DROP_RNA_RECON
placenta,9.22676632553339,7.956577450037003,7.675849562510848,runtime_seconds,7.142401849851012,5,0.7843312237883362,DROP_RNA_RECON
placenta,444.79833984375,444.79833984375,444.79833984375,gpu_peak_allocated_mib,444.79833984375,5,0.0,DROP_RNA_RECON
placenta,474.0,474.0,474.0,gpu_peak_reserved_mib,474.0,5,0.0,DROP_RNA_RECON
placenta,1365.0078125,1365.0078125,1365.0078125,cpu_peak_rss_mib,1365.0078125,5,0.0,DROP_RNA_RECON
placenta,0.6376071516919535,0.6145648170076154,0.6336253933365893,ari,0.5349588959039493,5,0.04455217352368303,DROP_MOD2_RECON
placenta,0.6408745433735794,0.630822210640859,0.6378321135728193,nmi,0.5982842213179713,5,0.018279983204623096,DROP_MOD2_RECON
placenta,0.6361507836733273,0.6259746676586794,0.6330649993083424,ami,0.5930681793204355,5,0.01848664656626255,DROP_MOD2_RECON
placenta,0.7013659769526912,0.6818665748947501,0.6977766726102771,fmi,0.6147188335439859,5,0.03758047808721549,DROP_MOD2_RECON
placenta,0.6803322268769239,0.6702654991542957,0.6764515866976745,homogeneity,0.6416512625527391,5,0.01608487907740996,DROP_MOD2_RECON
placenta,0.6408745433735794,0.630822210640859,0.6378321135728193,v_measure,0.5982842213179712,5,0.01827998320462316,DROP_MOD2_RECON
placenta,0.5546662004229883,0.536463227148827,0.5403761887639297,hungarian_macro_f1,0.50904846553152,5,0.016725374617864545,DROP_MOD2_RECON
placenta,0.7700152543245258,0.7470055248123872,0.7535157206073372,hungarian_weighted_f1,0.7067983334714869,5,0.023721802127926874,DROP_MOD2_RECON
placenta,0.6080554286591077,0.5841194449284997,0.5881442536013521,hungarian_balanced_accuracy,0.5548778086619542,5,0.019181843891160913,DROP_MOD2_RECON
placenta,0.5367027677496992,0.5290012033694345,0.5324909747292419,spatial_neighbor_agreement,0.5120336943441637,5,0.00984448873031963,DROP_MOD2_RECON
placenta,0.5342083497531087,0.5271901039435269,0.5277056916404168,spatial_cluster_moran_mean,0.5217514299139075,5,0.005020697783430074,DROP_MOD2_RECON
placenta,0.6590722812243245,0.6506589713738424,0.6498535986539217,spatial_cluster_geary_mean,0.6423581125159017,5,0.006785006352606841,DROP_MOD2_RECON
placenta,0.4879663056558363,0.4709987966305656,0.4675090252707581,boundary_disagreement,0.46329723225030084,5,0.00984448873031963,DROP_MOD2_RECON
