channel,dataset,extreme_below_005_or_above_095_fraction,iqr,mean,median,n_observations,normalized_two_way_entropy,p05,p95,sd,seed,variant
cross_omics_modality2_attention,p22,0.9413875598086124,0.027695142602169653,0.13540017828708414,0.002421442186459899,9196,0.06452126039477205,1.4158454320067904e-07,1.0,0.3268163262845857,1,FULL_IGE
rna_spatial_attention,p22,0.5274032187907786,0.10134746134281158,0.9054551837587483,0.954921156167984,9196,0.34595491764009184,0.6258303225040436,0.997709184885025,0.12673766116130256,1,FULL_IGE
rna_feature_attention,p22,0.5274032187907786,0.10134747205302119,0.09454481557138407,0.04507889226078987,9196,0.34595491449619975,0.00229080393910408,0.37416965514421463,0.12673766111071003,1,FULL_IGE
modality2_spatial_attention,p22,0.082753371030883,0.2725340574979782,0.7007313318868185,0.7164978384971619,9196,0.7537957449660849,0.3702527582645416,0.9725204259157181,0.18392337813164225,1,FULL_IGE
modality2_feature_attention,p22,0.082753371030883,0.2725341096520424,0.29926866768042903,0.28350213170051575,9196,0.7537957445372151,0.027479572221636772,0.6297472268342972,0.18392337804479236,1,FULL_IGE
cross_omics_rna_attention,p22,0.9268160069595476,0.03284554183483124,0.853093642823894,0.9972667098045349,9196,0.0700297656250079,2.4400707657483336e-14,0.9999998807907104,0.33745094867372816,2,FULL_IGE
cross_omics_modality2_attention,p22,0.9268160069595476,0.03284560755764687,0.14690635743183936,0.00273330882191658,9196,0.07002977133335336,7.909710042497409e-08,1.0,0.33745094856009517,2,FULL_IGE
rna_spatial_attention,p22,0.5208786428882123,0.11659736931324005,0.8900425330807243,0.9537328779697418,9196,0.3606534741851339,0.5483685284852982,0.9979491829872131,0.15476076822093365,2,FULL_IGE
rna_feature_attention,p22,0.5208786428882123,0.11659731925465167,0.10995746693224322,0.04626714065670967,9196,0.36065347259903924,0.0020508638117462397,0.45163142681121826,0.1547607683494869,2,FULL_IGE
modality2_spatial_attention,p22,0.09765115267507612,0.26234270632267,0.7005058320513844,0.7102465033531189,9196,0.7522438383160274,0.37478189170360565,0.9845685064792633,0.18334284071820386,2,FULL_IGE
modality2_feature_attention,p22,0.09765115267507612,0.2623426504433155,0.299494167489667,0.2897535115480423,9196,0.7522438369424645,0.015431480249390006,0.625218078494072,0.18334284070733484,2,FULL_IGE
cross_omics_rna_attention,p22,0.9566115702479339,0.020800068974494934,0.8696431111899928,0.9981715679168701,9196,0.054330380151558826,1.0752440546057389e-17,0.9999998807907104,0.3240053174827296,3,FULL_IGE
cross_omics_modality2_attention,p22,0.9566115702479339,0.020800081188099284,0.13035688891991812,0.0018284376128576696,9196,0.05433038115088118,1.1762397456038798e-07,1.0,0.3240053176863542,3,FULL_IGE
rna_spatial_attention,p22,0.5752501087429317,0.09768961369991302,0.9073322990201511,0.9628137946128845,9196,0.32265389466197747,0.607829675078392,0.9988537132740021,0.13797307547022475,3,FULL_IGE
rna_feature_attention,p22,0.5752501087429317,0.09768959204666317,0.09266769984816148,0.037186261266469955,9196,0.322653887187755,0.001146263675764203,0.39217034727334976,0.137973075787602,3,FULL_IGE
modality2_spatial_attention,p22,0.058938668986515876,0.2624756991863251,0.672611980577068,0.6826878488063812,9196,0.7910969449531114,0.3506157919764519,0.9577141106128693,0.18410727503522528,3,FULL_IGE
modality2_feature_attention,p22,0.058938668986515876,0.2624756880104542,0.32738801938482587,0.31731216609477997,9196,0.7910969462426026,0.042285868898034096,0.6493841856718063,0.18410727417838446,3,FULL_IGE
cross_omics_rna_attention,p22,0.9554153979991301,0.02373252809047699,0.8618642910355703,0.9982914924621582,9196,0.05513811987590779,4.281314714288999e-17,1.0,0.33236448937485835,4,FULL_IGE
cross_omics_modality2_attention,p22,0.9554153979991301,0.02373247492050723,0.1381357090692161,0.0017085354193113744,9196,0.05513812427454096,2.6053267987435902e-08,1.0,0.33236448961494797,4,FULL_IGE
rna_spatial_attention,p22,0.5518703784254023,0.09936994314193726,0.9021208549229583,0.9585152864456177,9196,0.3387567402443824,0.5821123868227005,0.9981045424938202,0.14094065384072182,4,FULL_IGE
rna_feature_attention,p22,0.5518703784254023,0.09936995338648558,0.09787914500273731,0.041484758257865906,9196,0.3387567389605905,0.001895412482554093,0.4178876206278801,0.1409406538560276,4,FULL_IGE
modality2_spatial_attention,p22,0.08699434536755112,0.28617171943187714,0.6948565455826454,0.7156257331371307,9196,0.7467682224716089,0.3376064971089363,0.975254014134407,0.19515933607172248,4,FULL_IGE
modality2_feature_attention,p22,0.08699434536755112,0.28617165237665176,0.30514345433677514,0.28437425196170807,9196,0.7467682221757764,0.024746018927544355,0.6623934954404831,0.19515933614293585,4,FULL_IGE
