bootstrap_ci_high,bootstrap_ci_low,bootstrap_replicates,ci_is_descriptive_only,dataset,max,mean,median,metric,min,n,sd,variant
0.5600019202775884,0.5263521394370831,10000,True,placenta,0.5782516150138602,0.5409389845001117,0.5331882797422854,ami,0.5212859373235134,5,0.022445145785874802,C0
0.5688245964531082,0.5444404282244795,10000,True,placenta,0.5752145550633271,0.5566325123387939,0.5498965078483171,fmi,0.5407109726118714,5,0.015830733506807797,C0
0.5954605731270017,0.5627438428419017,10000,True,placenta,0.6128109307105789,0.5765054223243171,0.569435036751636,homogeneity,0.5579511527557044,5,0.021602410408172713,C0
0.5659783606709885,0.5325161067511177,10000,True,placenta,0.5837821987211743,0.5469302445565696,0.5392726035957096,v_measure,0.5275141837942643,5,0.022171822044693836,C0
0.5358036697839694,0.5180183043266794,10000,True,placenta,0.5376709074981375,0.5278306001209985,0.5332650005747622,hungarian_macro_f1,0.5093811831221788,5,0.011452535014006133,C0
0.7023897696012139,0.6745592047900936,10000,True,placenta,0.7088697898929466,0.6887692546386676,0.687151489765416,hungarian_weighted_f1,0.6624855152077458,5,0.017761396689254243,C0
0.5611847411319092,0.5324552989493198,10000,True,placenta,0.5676014007873565,0.5475080790209592,0.547100493870256,hungarian_balanced_accuracy,0.5197189971497075,5,0.018307703493448072,C0
0.4900120336943442,0.4671480144404333,10000,True,placenta,0.4963898916967509,0.47978339350180504,0.4789410348977136,spatial_neighbor_agreement,0.45607701564380265,5,0.015237004664913924,C0
0.476223246252344,0.42191761057133004,10000,True,placenta,0.48949019117735276,0.4493621225743616,0.4544902091993787,spatial_cluster_moran_mean,0.403378920180787,5,0.03504506357439751,C0
0.05406556129455566,0.037990910559892656,10000,True,placenta,0.06345663964748383,0.04413410499691963,0.03997894376516342,embedding_silhouette,0.03635980561375618,5,0.010960710853752238,C0
3.2441029225081257,3.065518269376091,10000,True,placenta,3.3425647941794523,3.1433693853098217,3.121928337094809,embedding_davies_bouldin,3.043297939620248,5,0.11960259891390766,C0
8.081923343986272,7.199232210218907,10000,True,placenta,8.268314423039556,7.64057777710259,7.4080438911914825,runtime_seconds,7.107673307880759,5,0.5676138807607544,C0
363.65185546875,363.65185546875,10000,True,placenta,363.65185546875,363.65185546875,363.65185546875,gpu_peak_allocated_mib,363.65185546875,5,0.0,C0
386.0,386.0,10000,True,placenta,386.0,386.0,386.0,gpu_peak_reserved_mib,386.0,5,0.0,C0
1436.9140625,1396.91171875,10000,True,placenta,1436.9140625,1421.35078125,1436.9140625,cpu_peak_rss_mib,1375.81640625,5,26.46394521076108,C0
0.7050056374415057,0.660007465935806,10000,True,placenta,0.7161860969711895,0.6825065516886558,0.6709190679799776,ari,0.6559140870843205,5,0.02893747689506422,C1
0.7402265314190621,0.7272411817502382,10000,True,placenta,0.743385441654973,0.7337338565846502,0.7294869887224119,nmi,0.7260938336175303,5,0.008472727891403298,C1
0.736758130564407,0.7236576517627901,10000,True,placenta,0.7399406199703447,0.7302078911635986,0.7259474925568192,ami,0.7224950749120825,5,0.008544090362060826,C1
0.7574504038708347,0.7207741584048929,10000,True,placenta,0.7665898675156295,0.7391122811378639,0.7296767284212736,fmi,0.7175325539097739,5,0.023583833500413532,C1
