dataset,has_gradient,l2_norm,loss,loss_non_none_numel,loss_rms_gradient,loss_sq_sum,numel,parameter,repeat,rms,seed
a1,False,0.0,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,4096,attention2.w_omega,2,0.0,1
a1,False,0.0,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,64,attention2.u_omega,2,0.0,1
a1,False,0.0,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,4096,cross_attention.w_omega,2,0.0,1
a1,False,0.0,L_corr1_raw,200000,0.001610228815968528,0.5185673679550815,64,cross_attention.u_omega,2,0.0,1
a1,True,0.2688550651073456,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,192000,encoder1.weight,2,0.0006135749525642499,1
a1,True,0.2645453214645386,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,192000,decoder1.weight,2,0.0006037393488449718,1
a1,True,0.20484526455402374,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,1920,encoder2.weight,2,0.00467493195426698,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,1920,decoder2.weight,2,0.0,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,4096,attention1.w_omega,2,0.0,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,64,attention1.u_omega,2,0.0,1
a1,True,0.07654892653226852,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,4096,attention2.w_omega,2,0.0011960770164664578,1
a1,True,0.05338587984442711,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,64,attention2.u_omega,2,0.006673234729421445,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,4096,cross_attention.w_omega,2,0.0,1
a1,False,0.0,L_corr2_raw,390080,0.0007032873018038971,0.19293865030496654,64,cross_attention.u_omega,2,0.0,1
a1,True,0.010372360236942768,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,192000,encoder1.weight,1,2.3671565820122107e-05,2
a1,True,0.006698321551084518,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,192000,decoder1.weight,1,1.5286757200454995e-05,2
a1,True,0.0039636436849832535,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,1920,encoder2.weight,1,9.045737593693031e-05,2
a1,False,0.0,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,1920,decoder2.weight,1,0.0,2
a1,True,6.510880484711379e-05,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,4096,attention1.w_omega,1,1.0173250436829867e-06,2
a1,True,4.2069779738085344e-05,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,64,attention1.u_omega,1,5.2587224266710635e-06,2
a1,True,0.000982966274023056,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,4096,attention2.w_omega,1,1.5358847641981973e-05,2
a1,True,0.0005248162196949124,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,64,attention2.u_omega,1,6.560202709794073e-05,2
a1,True,0.003183060558512807,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,4096,cross_attention.w_omega,1,4.9735320531918266e-05,2
a1,True,0.002148347906768322,L_rna_recon_raw,398400,2.1499905347916738e-05,0.00018415877849980048,64,cross_attention.u_omega,1,0.00026854348854423533,2
a1,True,0.7903038859367371,L_mod2_recon_raw,208320,0.0020193163556566744,0.8494536615324424,192000,encoder1.weight,1,0.001803613607272642,2
a1,False,0.0,L_mod2_recon_raw,208320,0.0020193163556566744,0.8494536615324424,192000,decoder1.weight,1,0.0,2
a1,True,0.3417438864707947,L_mod2_recon_raw,208320,0.0020193163556566744,0.8494536615324424,1920,encoder2.weight,1,0.007799201303933568,2
a1,True,0.25812816619873047,L_mod2_recon_raw,208320,0.0020193163556566744,0.8494536615324424,1920,decoder2.weight,1,0.005890942514169066,2
a1,True,0.003523696679621935,L_mod2_recon_raw,208320,0.0020193163556566744,0.8494536615324424,4096,attention1.w_omega,1,5.5057761188250816e-05,2
a1,True,0.0025568411219865084,L_mod2_recon_raw,208320,0.0020193163556566744,0.8494536615324424,64,attention1.u_omega,1,0.0003196051525743265,2
a1,True,0.0433390811085701,L_mod2_recon_raw,208320,0.0020193163556566744,0.8494536615324424,4096,attention2.w_omega,1,0.0006771731529400098,2
a1,True,0.02382977306842804,L_mod2_recon_raw,208320,0.0020193163556566744,0.8494536615324424,64,attention2.u_omega,1,0.002978721658060187,2
