lane,candidate_id,arm,operator_nnz,operator_sha256,finite,nonnegative,symmetry_max_abs,reliability_min_median_max,reliability_unique_count,dense_n_by_n_count
PLACENTA_K10,S01_LOCAL__CSAD_CONFLICT_DISABLED__E0,CSAD_CONFLICT_DISABLED,34068,494ddba04fc18cbc44cbd5a6e82cca6fe582ee32773cef6794dc815edf384dc7,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S01_LOCAL__CSAD_MODALITY_EDGE_PERMUTED__E0,CSAD_MODALITY_EDGE_PERMUTED,34080,2557625c8834aed0171d1f0ded4e812cc967b385b6e7a836f699a90601181b1d,True,True,0.0,"[0.012906613496996826,0.030567689538259682,0.29424205132362924]",1662,0
PLACENTA_K10,S02_MESOSCALE__RNA_ONLY_DIFFUSION__E0,RNA_ONLY_DIFFUSION,22282,f6e575117965e37f79fe35fc6a01a1c3f8c1695a6fec7f0b36f66d88a8204b16,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__ATAC_ONLY_DIFFUSION__E0,ATAC_ONLY_DIFFUSION,26596,b094017f3d8a84246ed8f8a31c0dec1ba3538368a81c9a956dbd2ebfd479fff0,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__SPATIAL_ONLY_DIFFUSION__E0,SPATIAL_ONLY_DIFFUSION,17858,27bb8f349e9b135c696b6f71a18b3066ddcdf23472ad32e2a26d444f7432cbcf,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__CONCATENATED_FEATURE_KNN__E0,CONCATENATED_FEATURE_KNN,25494,80285810e1bf79631d5fed0c16ecdfd61b1303325a2cf1292e7a1cbabf8a137e,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__SIMPLE_OPERATOR_AVERAGE__E0,SIMPLE_OPERATOR_AVERAGE,43113,b96ee5a020709a759d5be6224549806939e675f17c0bd04b574f5aa9b0159002,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__CLASSICAL_ALTERNATING_RA__E0,CLASSICAL_ALTERNATING_RA,47564,4bc790afd823ba6597cfb042495570a9935459f84a30aa8893a35b9911ca70f4,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__SPATIALLY_ANCHORED_ALTERNATING__E0,SPATIALLY_ANCHORED_ALTERNATING,49688,ffa5186740c5c7be3d9b95f4fc1c912dad5184f5c98efa6e053720985846d94b,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__CSAD_FULL__E0,CSAD_FULL,50378,c2082607e63201104eec5a0bbe7f1555be61bdc24c946ece6bea50e03126812d,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__CSAD_CONFLICT_DISABLED__E0,CSAD_CONFLICT_DISABLED,50253,4e8339813d3ca366f49291b94042af35b85202dddc7a268ca709a0ca113795fd,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
PLACENTA_K10,S02_MESOSCALE__CSAD_MODALITY_EDGE_PERMUTED__E0,CSAD_MODALITY_EDGE_PERMUTED,50210,226dfc76e5a37b4f9e48d4a61bbe16354ce17746f768ebeac5676043c677badb,True,True,0.0,"[0.007501504239856146,0.023659053263424643,0.23319161826990686]",1662,0
