dataset,variant,metric,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n
a1,locked_asr_hvg_legacy_scale_diagnostic,nmi,0.36394065296166733,0.011759659880619893,0.36538162932821905,0.34484753211235913,0.37393556913688725,0.35401622611358974,0.3718996581035598,5
a1,locked_asr_hvg_legacy_scale_diagnostic,ami,0.35989352961852705,0.011809561110405462,0.36134525687852403,0.3407291194804958,0.36992195405401984,0.3499317352242166,0.3678933479474128,5
a1,locked_asr_hvg_legacy_scale_diagnostic,fmi,0.36480443169486915,0.015569588446653158,0.36861599494840847,0.34090321443593496,0.37985165928818215,0.351472186621925,0.3758321143916132,5
a1,locked_asr_hvg_legacy_scale_diagnostic,homogeneity,0.41492400936275714,0.011097943894898944,0.41684715227159325,0.39819652186370724,0.42601101972102895,0.40563098370971556,0.42300594101052713,5
a1,locked_asr_hvg_legacy_scale_diagnostic,v_measure,0.3639406529616673,0.011759659880619883,0.36538162932821905,0.34484753211235913,0.3739355691368872,0.35401622611358974,0.37189965810355974,5
a1,locked_asr_hvg_legacy_scale_diagnostic,hungarian_macro_f1,0.3262188794845393,0.024617118398552792,0.322109761380765,0.2908430844335027,0.35670726788604784,0.30679270740457776,0.3436231948765969,5
a1,locked_asr_hvg_legacy_scale_diagnostic,hungarian_weighted_f1,0.48588545474709977,0.02437032528991696,0.4951400544179844,0.4447642084927862,0.5075293445285607,0.4632572583549052,0.500941858349144,5
a1,locked_asr_hvg_legacy_scale_diagnostic,hungarian_balanced_accuracy,0.42867111584464546,0.06493028056224424,0.4291695759447248,0.34013706448368597,0.4994671094222777,0.37899860456471934,0.4781202168287707,5
a1,locked_asr_hvg_legacy_scale_diagnostic,spatial_neighbor_agreement,0.5887517540502616,0.011601499366840445,0.591354126801888,0.5695401199132543,0.600778160479653,0.5782657226687078,0.5965620614874347,5
a1,locked_asr_hvg_legacy_scale_diagnostic,spatial_cluster_moran_mean,0.5388605058491767,0.008722239861255525,0.5402376579935951,0.5268806229609895,0.5483549424003076,0.5318942349547919,0.5454901030805015,5
a1,locked_asr_hvg_legacy_scale_diagnostic,embedding_silhouette,0.1033005028963089,0.011621329705884089,0.0985700860619545,0.0897497832775116,0.1176423728466034,0.09461361914873123,0.11269347816705703,5
a1,locked_asr_hvg_legacy_scale_diagnostic,embedding_davies_bouldin,2.192470212531576,0.0973703646341682,2.237270579475667,2.029697366124679,2.262978414149315,2.1042993602564515,2.255433583506136,5
placenta,locked_unweighted,ari,0.45063556903425817,0.0414515090961123,0.45873344461793203,0.40970903598682307,0.5114512620798337,0.42048224208943424,0.48152757774524063,5
placenta,locked_unweighted,nmi,0.5288766144672667,0.029492080169625012,0.5243418116291204,0.49440319805495,0.5658158290796529,0.5060923033733402,0.5516609255611934,5
placenta,locked_unweighted,ami,0.5226435427591688,0.029855443632122614,0.5180703340867607,0.4877532197446093,0.5600742989565781,0.49958158962068905,0.5457054958976485,5
placenta,locked_unweighted,fmi,0.5428139270357979,0.035373780008872334,0.5494922209861276,0.5078945429338695,0.5943165008973799,0.5172099998326443,0.5690631746107504,5
placenta,locked_unweighted,homogeneity,0.5571162403071993,0.029413112823512926,0.5542883107433214,0.52330110107485,0.5969185909113586,0.5348040857917805,0.5803657943081084,5
placenta,locked_unweighted,v_measure,0.5288766144672667,0.029492080169624995,0.5243418116291204,0.49440319805495,0.5658158290796529,0.5060923033733402,0.5516609255611934,5
placenta,locked_unweighted,hungarian_macro_f1,0.5020489900890582,0.04247046303423628,0.5023784569549995,0.44471830784259636,0.560572090663722,0.4677823674875576,0.5368584733950278,5
placenta,locked_unweighted,hungarian_weighted_f1,0.6620216479562958,0.04720092975582577,0.6610635669125854,0.6095893611251524,0.7308852412774755,0.6274676307683447,0.7002451588597386,5
placenta,locked_unweighted,hungarian_balanced_accuracy,0.5253688837580206,0.030197014516636804,0.5129089102076912,0.49370788078789135,0.5577653326517578,0.5020826369949037,0.5486551305211375,5
placenta,locked_unweighted,spatial_neighbor_agreement,0.49133574007220215,0.01962912820791,0.4969915764139591,0.4590854392298436,0.5084235860409145,0.47424789410348983,0.5044524669073406,5
placenta,locked_unweighted,spatial_cluster_moran_mean,0.47114133331449815,0.032382062813556024,0.4705107275578772,0.4237260726707011,0.5083500788796766,0.44485960109526773,0.4955995713138216,5
