dataset,variant,seed,domain,support,hungarian_f1
a1,locked_unweighted,3,cortex,753,0.5322283609576427
a1,locked_unweighted,3,follicle,60,0.49565217391304345
a1,locked_unweighted,3,hilum,23,0.09836065573770492
a1,locked_unweighted,3,medulla cords,1188,0.5328542094455851
a1,locked_unweighted,3,medulla sinuses,797,0.6006600660066006
a1,locked_unweighted,3,medulla vessels,57,0.024096385542168672
a1,locked_unweighted,3,pericapsular adipose tissue,320,0.6511627906976745
a1,locked_unweighted,3,subcapsular sinus,74,0.24358974358974358
a1,locked_unweighted,3,trabeculae,8,0.04776119402985075
a1,locked_unweighted,4,capsule,204,0.3315789473684211
a1,locked_unweighted,4,cortex,753,0.6328059950041632
a1,locked_unweighted,4,follicle,60,0.4113475177304964
a1,locked_unweighted,4,hilum,23,0.037558685446009384
a1,locked_unweighted,4,medulla cords,1188,0.36589497459062675
a1,locked_unweighted,4,medulla sinuses,797,0.4147104851330204
a1,locked_unweighted,4,medulla vessels,57,0.03278688524590164
a1,locked_unweighted,4,pericapsular adipose tissue,320,0.5889830508474576
a1,locked_unweighted,4,subcapsular sinus,74,0.007722007722007721
a1,locked_unweighted,4,trabeculae,8,0.0
p22,locked_asr_hvg_legacy_scale_diagnostic,0,ACB,1111,0.5984766050054408
p22,locked_asr_hvg_legacy_scale_diagnostic,0,CP,1693,0.8387263784623349
p22,locked_asr_hvg_legacy_scale_diagnostic,0,L1-L3,1023,0.6822589845978323
p22,locked_asr_hvg_legacy_scale_diagnostic,0,L4,304,0.4256198347107438
p22,locked_asr_hvg_legacy_scale_diagnostic,0,L5,970,0.0015094339622641509
p22,locked_asr_hvg_legacy_scale_diagnostic,0,L6a/b,834,0.7199587416193914
p22,locked_asr_hvg_legacy_scale_diagnostic,0,VL,147,0.07843137254901962
p22,locked_asr_hvg_legacy_scale_diagnostic,0,ccg/aco,744,0.7980225988700566
p22,locked_asr_hvg_legacy_scale_diagnostic,0,others,2370,0.5627615062761506
p22,locked_asr_hvg_legacy_scale_diagnostic,1,ACB,1111,0.6074660633484162
p22,locked_asr_hvg_legacy_scale_diagnostic,1,CP,1693,0.83129074315515
p22,locked_asr_hvg_legacy_scale_diagnostic,1,L1-L3,1023,0.6998867497168743
p22,locked_asr_hvg_legacy_scale_diagnostic,1,L4,304,0.45233265720081134
p22,locked_asr_hvg_legacy_scale_diagnostic,1,L5,970,0.351813826146475
p22,locked_asr_hvg_legacy_scale_diagnostic,1,L6a/b,834,0.6426666666666666
p22,locked_asr_hvg_legacy_scale_diagnostic,1,VL,147,0.0
p22,locked_asr_hvg_legacy_scale_diagnostic,1,ccg/aco,744,0.7977448907681467
p22,locked_asr_hvg_legacy_scale_diagnostic,1,others,2370,0.3690958164642375
p22,locked_asr_hvg_legacy_scale_diagnostic,2,ACB,1111,0.6132596685082873
p22,locked_asr_hvg_legacy_scale_diagnostic,2,CP,1693,0.8359843546284224
p22,locked_asr_hvg_legacy_scale_diagnostic,2,L1-L3,1023,0.7015384615384614
p22,locked_asr_hvg_legacy_scale_diagnostic,2,L4,304,0.47640966628308395
