dataset,metric,contrast,seed,paired_delta
a1,hungarian_balanced_accuracy,factorial_shape_main,1,-0.039961855078452235
a1,hungarian_balanced_accuracy,interaction,1,0.044892753255697526
a1,hungarian_balanced_accuracy,asr_vs_uniform_same_scale,1,0.07724878021015308
a1,hungarian_balanced_accuracy,asr_vs_legacy_same_scale,1,0.09476425866075655
a1,hungarian_balanced_accuracy,uniform_scale_effect,2,0.0019144460266650176
a1,hungarian_balanced_accuracy,legacy_shape_effect,2,-4.8627040658943965e-05
a1,hungarian_balanced_accuracy,scale_at_legacy_shape,2,-0.00018158499591652832
a1,hungarian_balanced_accuracy,legacy_shape_at_full_scale,2,-0.00214465806324049
a1,hungarian_balanced_accuracy,factorial_scale_main,2,0.0008664305153742446
a1,hungarian_balanced_accuracy,factorial_shape_main,2,-0.001096642551949717
a1,hungarian_balanced_accuracy,interaction,2,-0.002096031022581546
a1,hungarian_balanced_accuracy,asr_vs_uniform_same_scale,2,0.003126755330394637
a1,hungarian_balanced_accuracy,asr_vs_legacy_same_scale,2,0.005271413393635127
a1,hungarian_balanced_accuracy,uniform_scale_effect,3,-0.08855813450282113
a1,hungarian_balanced_accuracy,legacy_shape_effect,3,0.00013280212483407494
a1,hungarian_balanced_accuracy,scale_at_legacy_shape,3,-0.08420400436664482
a1,hungarian_balanced_accuracy,legacy_shape_at_full_scale,3,0.004486932261010379
a1,hungarian_balanced_accuracy,factorial_scale_main,3,-0.08638106943473298
a1,hungarian_balanced_accuracy,factorial_shape_main,3,0.002309867192922227
a1,hungarian_balanced_accuracy,interaction,3,0.004354130136176304
a1,hungarian_balanced_accuracy,asr_vs_uniform_same_scale,3,0.09951513747662144
a1,hungarian_balanced_accuracy,asr_vs_legacy_same_scale,3,0.09502820521561106
a1,hungarian_balanced_accuracy,uniform_scale_effect,4,0.025661560299471753
a1,hungarian_balanced_accuracy,legacy_shape_effect,4,-0.00806477267486938
a1,hungarian_balanced_accuracy,scale_at_legacy_shape,4,0.06489933308157148
a1,hungarian_balanced_accuracy,legacy_shape_at_full_scale,4,0.031173000107230342
a1,hungarian_balanced_accuracy,factorial_scale_main,4,0.045280446690521614
a1,hungarian_balanced_accuracy,factorial_shape_main,4,0.01155411371618048
a1,hungarian_balanced_accuracy,interaction,4,0.03923777278209972
a1,hungarian_balanced_accuracy,asr_vs_uniform_same_scale,4,0.00012705473809609957
a1,hungarian_balanced_accuracy,asr_vs_legacy_same_scale,4,-0.031045945369134242
a1,spatial_neighbor_agreement,uniform_scale_effect,0,-0.0014351320321469574
a1,spatial_neighbor_agreement,legacy_shape_effect,0,-0.0015786452353616642
a1,spatial_neighbor_agreement,scale_at_legacy_shape,0,0.02407832631713236
a1,spatial_neighbor_agreement,legacy_shape_at_full_scale,0,0.023934813113917652
a1,spatial_neighbor_agreement,factorial_scale_main,0,0.011321597142492701
a1,spatial_neighbor_agreement,factorial_shape_main,0,0.011178083939277994
a1,spatial_neighbor_agreement,interaction,0,0.025513458349279317
a1,spatial_neighbor_agreement,asr_vs_uniform_same_scale,0,0.013522132925118058
a1,spatial_neighbor_agreement,asr_vs_legacy_same_scale,0,-0.010412680188799595
a1,spatial_neighbor_agreement,uniform_scale_effect,1,-0.01911914785049118
a1,spatial_neighbor_agreement,legacy_shape_effect,1,-0.019182931496364408
a1,spatial_neighbor_agreement,scale_at_legacy_shape,1,-0.019422120168388735
a1,spatial_neighbor_agreement,legacy_shape_at_full_scale,1,-0.019485903814261962
a1,spatial_neighbor_agreement,factorial_scale_main,1,-0.019270634009439958
a1,spatial_neighbor_agreement,factorial_shape_main,1,-0.019334417655313185
a1,spatial_neighbor_agreement,interaction,1,-0.0003029723178975541
a1,spatial_neighbor_agreement,asr_vs_uniform_same_scale,1,0.014813751754050308
a1,spatial_neighbor_agreement,asr_vs_legacy_same_scale,1,0.03429965556831227
